,R_fighter,B_fighter,Winner,finish,finish_details,weight_class
206,Michel Pereira,Zelim Imadaev,Red,,,Welterweight
207,Brian Kelleher,Ray Rodriguez,Red,,,Featherweight
208,Andre Muniz,Bartosz Fabinski,Red,,,Middleweight
209,Viviane Araujo,Montana De La Rosa,Red,,,Women's Flyweight
210,Cole Smith,Hunter Azure,Blue,,,Bantamweight
211,Anthony Smith,Aleksandar Rakic,Blue,U-DEC,,Light Heavyweight
212,Robbie Lawler,Neil Magny,Blue,U-DEC,,Welterweight
213,Ji Yeon Kim,Alexa Grasso,Blue,U-DEC,,Women's Flyweight
214,Ricardo Lamas,Bill Algeo,Red,U-DEC,,Featherweight
215,Maki Pitolo,Impa Kasanganay,Blue,U-DEC,,Middleweight
216,Mallory Martin,Hannah Cifers,Red,SUB,Rear Naked Choke,Women's Strawweight
217,Alessio Di Chirico,Zak Cummings,Blue,U-DEC,,Middleweight
218,Alex Caceres,Austin Springer,Red,SUB,Rear Naked Choke,Featherweight
219,Polyana Viana,Emily Whitmire,Red,SUB,Armbar,Women's Strawweight
220,Sean Brady,Christian Aguilera,Red,SUB,Guillotine Choke,Welterweight
221,Pedro Munhoz,Frankie Edgar,Blue,S-DEC,,Bantamweight
222,Marcin Prachnio,Mike Rodriguez,Blue,KO/TKO,Elbow,Light Heavyweight
223,Mariya Agapova,Shana Dobson,Blue,KO/TKO,Punches,Women's Flyweight
224,Daniel Rodriguez,Dwight Grant,Red,KO/TKO,Punches,Welterweight
225,Amanda Lemos,Mizuki Inoue,Red,U-DEC,,Women's Strawweight
226,Austin Hubbard,Joe Solecki,Blue,SUB,Rear Naked Choke,Lightweight
227,Ike Villanueva,Jordan Wright,Blue,KO/TKO,,Light Heavyweight
228,Carlton Minus,Matthew Semelsberger,Blue,U-DEC,,Welterweight
229,Timur Valiev,Trevin Jones,Blue,KO/TKO,Punch,Catch Weight
230,Stipe Miocic,Daniel Cormier,Red,U-DEC,,Heavyweight
231,Sean O'Malley,Marlon Vera,Blue,KO/TKO,Elbows,Bantamweight
232,Junior Dos Santos,Jairzinho Rozenstruik,Blue,KO/TKO,Punch,Heavyweight
233,John Dodson,Merab Dvalishvili,Blue,U-DEC,,Bantamweight
234,Jim Miller,Vinc Pichel,Blue,U-DEC,,Lightweight
235,Ashley Yoder,Livinha Souza,Blue,U-DEC,,Women's Strawweight
236,Felice Herrig,Virna Jandiroba,Blue,SUB,Armbar,Women's Strawweight
237,Herbert Burns,Daniel Pineda,Blue,KO/TKO,Elbows,Featherweight
238,TJ Brown,Danny Chavez,Blue,U-DEC,,Featherweight
239,Chris Daukaus,Parker Porter,Red,KO/TKO,Knee,Heavyweight
240,Derrick Lewis,Aleksei Oleinik,Red,,,Heavyweight
241,Omari Akhmedov,Chris Weidman,Blue,,,Middleweight
242,Maki Pitolo,Darren Stewart,Blue,,,Middleweight
243,Yana Kunitskaya,Julija Stoliarenko,Red,,,Women's Bantamweight
244,Beneil Dariush,Scott Holtzman,Red,,,Lightweight
245,Tim Means,Laureano Staropoli,Red,,,Welterweight
246,Kevin Holland,Joaquin Buckley,Red,,,Middleweight
247,Nasrat Haqparast,Alex Munoz,Red,,,Lightweight
248,Andrew Sanchez,Wellington Turman,Red,,,Middleweight
249,Gavin Tucker,Justin Jaynes,Red,,,Featherweight
250,Youssef Zalal,Peter Barrett,Red,,,Featherweight
251,Irwin Rivera,Ali Qaisi,Red,,,Bantamweight
252,Derek Brunson,Edmen Shahbazyan,Red,KO/TKO,Punches,Middleweight
253,Joanne Calderwood,Jennifer Maia,Blue,SUB,Armbar,Women's Flyweight
254,Vicente Luque,Randy Brown,Red,KO/TKO,Knee,Welterweight
255,Lando Vannata,Bobby Green,Blue,U-DEC,,Lightweight
256,Frankie Saenz,Jonathan Martinez,Blue,KO/TKO,Knee,Bantamweight
257,Johnny Munoz,Nate Maness,Blue,U-DEC,,Featherweight
258,Jamall Emmers,Vince Cachero,Red,U-DEC,,Featherweight
259,Robert Whittaker,Darren Till,Red,U-DEC,,Middleweight
260,Mauricio Rua,Rogerio Nogueira,Red,S-DEC,,Light Heavyweight
261,Fabricio Werdum,Alexander Gustafsson,Red,SUB,Armbar,Heavyweight
262,Carla Esparza,Marina Rodriguez,Red,S-DEC,,Women's Strawweight
263,Paul Craig,Gadzhimurad Antigulov,Red,SUB,Triangle Choke,Light Heavyweight
264,Alex Oliveira,Peter Sobotta,Red,U-DEC,,Welterweight
265,Khamzat Chimaev,Rhys McKee,Red,KO/TKO,Punches,Welterweight
266,Francisco Trinaldo,Jai Herbert,Red,KO/TKO,Punch,Lightweight
267,Nicolas Dalby,Jesse Ronson,Blue,SUB,Rear Naked Choke,Welterweight
268,Tom Aspinall,Jake Collier,Red,KO/TKO,Punches,Heavyweight
269,Movsar Evloev,Mike Grundy,Red,U-DEC,,Featherweight
270,Tanner Boser,Raphael Pessoa,Red,KO/TKO,Punch,Heavyweight
