,R_fighter,B_fighter,Winner,finish,finish_details,weight_class
3622,Tim Means,Jorge Masvidal,Blue,U-DEC,,Lightweight
3623,TJ Dillashaw,Hugo Viana,Red,KO/TKO,Punches,Bantamweight
3624,Anthony Njokuani,Roger Bowling,Red,KO/TKO,Punch,Lightweight
3625,Clifford Starks,Yoel Romero,Blue,KO/TKO,Flying Knee,Middleweight
3626,Urijah Faber,Scott Jorgensen,Red,SUB,Rear Naked Choke,Bantamweight
3627,Uriah Hall,Kelvin Gastelum,Blue,S-DEC,,Middleweight
3628,Miesha Tate,Cat Zingano,Blue,KO/TKO,Knees,Women's Bantamweight
3629,Travis Browne,Gabriel Gonzaga,Red,KO/TKO,Elbows,Heavyweight
3630,Bubba McDaniel,Gilbert Smith,Red,,,Middleweight
3631,Josh Samman,Kevin Casey,Red,KO/TKO,Knee,Middleweight
3632,Luke Barnatt,Collin Hart,Red,U-DEC,,Middleweight
3633,Dylan Andrews,Jimmy Quinlan,Red,KO/TKO,Punch,Middleweight
3634,Bristol Marunde,Clint Hester,Blue,KO/TKO,Elbow,Middleweight
3635,Cole Miller,Bart Palaszewski,Red,SUB,Rear Naked Choke,Featherweight
3636,Sam Sicilia,Maximo Blanco,Blue,U-DEC,,Featherweight
3637,Justin Lawrence,Daniel Pineda,Blue,SUB,Kimura,Featherweight
3638,Gegard Mousasi,Ilir Latifi,Red,U-DEC,,Light Heavyweight
3639,Ryan Couture,Ross Pearson,Blue,KO/TKO,Punches,Lightweight
3640,Matt Mitrione,Philip De Fries,Red,KO/TKO,Punches,Heavyweight
3641,Brad Pickett,Mike Easton,Red,S-DEC,,Bantamweight
3642,Diego Brandao,Pablo Garza,Red,SUB,Arm Triangle,Featherweight
3643,Akira Corassani,Robert Peralta,Red,U-DEC,,Featherweight
3644,Reza Madadi,Michael Johnson,Red,SUB,D'Arce Choke,Lightweight
3645,Tor Troeng,Adam Cella,Red,SUB,Rear Naked Choke,Middleweight
3646,Chris Spang,Adlan Amagov,Blue,U-DEC,,Welterweight
3647,Marcus Brimage,Conor McGregor,Blue,KO/TKO,Punches,Featherweight
3648,Benny Alloway,Ryan LaFlare,Blue,,,Welterweight
3649,Michael Kuiper,Tom Lawlor,Blue,SUB,Guillotine Choke,Middleweight
3650,Papy Abedi,Besam Yousef,Red,S-DEC,,Welterweight
3651,Georges St-Pierre,Nick Diaz,Red,U-DEC,,Welterweight
3652,Carlos Condit,Johny Hendricks,Blue,U-DEC,,Welterweight
3653,Jake Ellenberger,Nate Marquardt,Red,KO/TKO,Punch,Welterweight
3654,Nick Ring,Chris Camozzi,Blue,S-DEC,,Middleweight
3655,Mike Ricci,Colin Fletcher,Red,U-DEC,,Lightweight
3656,Patrick Cote,Bobby Voelker,Red,U-DEC,,Welterweight
3657,Antonio Carvalho,Darren Elkins,Blue,KO/TKO,Punch,Featherweight
3658,Dan Miller,Jordan Mein,Blue,KO/TKO,Punches,Welterweight
3659,John Makdessi,Daron Cruickshank,Red,U-DEC,,Lightweight
3660,Rick Story,Quinn Mulhern,Red,KO/TKO,Punch,Welterweight
3661,TJ Dillashaw,Issei Tamura,Red,KO/TKO,Kick,Bantamweight
3662,George Roop,Reuben Duran,Red,U-DEC,,Bantamweight
3663,Wanderlei Silva,Brian Stann,Red,KO/TKO,Punch,Light Heavyweight
3664,Stefan Struve,Mark Hunt,Blue,KO/TKO,Punch,Heavyweight
3665,Takanori Gomi,Diego Sanchez,Blue,S-DEC,,Lightweight
3666,Yushin Okami,Hector Lombard,Red,S-DEC,,Middleweight
3667,Mizuto Hirota,Rani Yahya,Blue,U-DEC,,Featherweight
3668,Dong Hyun Kim,Siyar Bahadurzada,Red,U-DEC,,Welterweight
3669,Riki Fukuda,Brad Tavares,Blue,U-DEC,,Middleweight
3670,Takeya Mizugaki,Bryan Caraway,Red,S-DEC,,Bantamweight
3671,Cristiano Marcello,Kazuki Tokudome,Blue,U-DEC,,Lightweight
3672,Marcelo Guimaraes,Hyun Gyu Lim,Blue,KO/TKO,Knee,Welterweight
3673,Ronda Rousey,Liz Carmouche,Red,SUB,Armbar,Women's Bantamweight
3674,Lyoto Machida,Dan Henderson,Red,S-DEC,,Light Heavyweight
3675,Urijah Faber,Ivan Menjivar,Red,SUB,Rear Naked Choke,Bantamweight
3676,Court McGee,Josh Neer,Red,U-DEC,,Welterweight
3677,Josh Koscheck,Robbie Lawler,Blue,KO/TKO,Punches,Welterweight
3678,Brendan Schaub,Lavar Johnson,Red,U-DEC,,Heavyweight
3679,Michael Chiesa,Anton Kuivanen,Red,SUB,Rear Naked Choke,Lightweight
3680,Dennis Bermudez,Matt Grice,Red,S-DEC,,Featherweight
3681,Sam Stout,Caros Fodor,Red,S-DEC,,Lightweight
3682,Kenny Robertson,Brock Jardine,Red,SUB,Kneebar,Welterweight
3683,Jon Manley,Neil Magny,Blue,U-DEC,,Welterweight
3684,Nah-Shon Burrell,Yuri Villefort,Red,U-DEC,,Welterweight
3685,Renan Barao,Michael McDonald,Red,SUB,Arm Triangle,Bantamweight
3686,Cub Swanson,Dustin Poirier,Red,U-DEC,,Featherweight
3687,Jimi Manuwa,Cyrille Diabate,Red,KO/TKO,,Light Heavyweight
3688,Gunnar Nelson,Jorge Santiago,Red,U-DEC,,Welterweight
3689,James Te Huna,Ryan Jimmo,Red,U-DEC,,Light Heavyweight
3690,Terry Etim,Renee Forte,Blue,U-DEC,,Lightweight
3691,Paul Sass,Danny Castillo,Blue,U-DEC,,Lightweight
3692,Andy Ogle,Josh Grispi,Red,U-DEC,,Featherweight
3693,Tom Watson,Stanislav Nedkov,Red,KO/TKO,Knee,Middleweight
3694,Vaughan Lee,Motonobu Tezuka,Red,U-DEC,,Bantamweight
3695,Phil Harris,Ulysses Gomez,Red,U-DEC,,Flyweight
3696,Jose Aldo,Frankie Edgar,Red,U-DEC,,Featherweight
3697,Rashad Evans,Rogerio Nogueira,Blue,U-DEC,,Light Heavyweight
3698,Alistair Overeem,Antonio Silva,Blue,KO/TKO,Punches,Heavyweight
3699,Jon Fitch,Demian Maia,Blue,U-DEC,,Welterweight
3700,Joseph Benavidez,Ian McCall,Red,U-DEC,,Flyweight
3701,Gleison Tibau,Evan Dunham,Blue,S-DEC,,Lightweight
3702,Tyron Woodley,Jay Hieron,Red,KO/TKO,Punch,Welterweight
3703,Jacob Volkmann,Bobby Green,Blue,SUB,Rear Naked Choke,Lightweight
3704,Yves Edwards,Isaac Vallie-Flagg,Blue,S-DEC,,Lightweight
3705,Chico Camus,Dustin Kimura,Blue,SUB,Rear Naked Choke,Bantamweight
3706,Edwin Figueroa,Francisco Rivera,Blue,KO/TKO,Punches,Bantamweight
3707,Demetrious Johnson,John Dodson,Red,U-DEC,,Flyweight
3708,Rampage Jackson,Glover Teixeira,Blue,,,Light Heavyweight
3709,Anthony Pettis,Donald Cerrone,Red,KO/TKO,Kick,Lightweight
3710,Erik Koch,Ricardo Lamas,Blue,KO/TKO,Elbows,Featherweight
3711,TJ Grant,Matt Wiman,Red,KO/TKO,Elbows,Lightweight
3712,Clay Guida,Hatsu Hioki,Red,S-DEC,,Featherweight
3713,Mike Stumpf,Pascal Krauss,Blue,U-DEC,,Welterweight
3714,Ryan Bader,Vladimir Matyushenko,Red,SUB,Guillotine Choke,Light Heavyweight
3715,Mike Russow,Shawn Jordan,Blue,KO/TKO,,Heavyweight
3716,Rafael Natal,Sean Spencer,Red,SUB,Arm Triangle,Middleweight
3717,Simeon Thoresen,David Mitchell,Blue,U-DEC,,Welterweight
3718,Vitor Belfort,Michael Bisping,Red,KO/TKO,Kick,Middleweight
3719,Daniel Sarafian,CB Dollaway,Blue,S-DEC,,Middleweight
3720,Gabriel Gonzaga,Ben Rothwell,Red,SUB,Guillotine Choke,Heavyweight
3721,Thiago Tavares,Khabib Nurmagomedov,Blue,KO/TKO,Elbows,Lightweight
3722,Godofredo Pepey,Milton Vieira,Red,S-DEC,,Featherweight
3723,Ronny Markes,Andrew Craig,Red,U-DEC,,Middleweight
3724,Diego Nunes,Nik Lentz,Blue,U-DEC,,Featherweight
3725,Edson Barboza,Lucas Martins,Red,KO/TKO,Punches,Lightweight
3726,Wagner Prado,Ildemar Alcantara,Blue,SUB,Kneebar,Light Heavyweight
3727,Francisco Trinaldo,CJ Keith,Red,SUB,Arm Triangle,Lightweight
3728,Junior Dos Santos,Cain Velasquez,Blue,U-DEC,,Heavyweight
3729,Jim Miller,Joe Lauzon,Red,U-DEC,,Lightweight
3730,Tim Boetsch,Costas Philippou,Blue,,,Middleweight
3731,Yushin Okami,Alan Belcher,Red,U-DEC,,Middleweight
3732,Chris Leben,Derek Brunson,Blue,U-DEC,,Middleweight
3733,Brad Pickett,Eddie Wineland,Blue,S-DEC,,Bantamweight
3734,Erik Perez,Byron Bloodworth,Red,KO/TKO,Punches,Bantamweight
3735,Melvin Guillard,Jamie Varner,Blue,S-DEC,,Lightweight
3736,Michael Johnson,Myles Jury,Blue,U-DEC,,Lightweight
3737,Philip De Fries,Todd Duffee,Blue,KO/TKO,Punches,Heavyweight
3738,Leonard Garcia,Max Holloway,Blue,S-DEC,,Featherweight
3739,Chris Cariaso,John Moraga,Blue,SUB,Guillotine Choke,Flyweight
3740,Roy Nelson,Matt Mitrione,Red,KO/TKO,Punch,Heavyweight
3741,Colton Smith,Mike Ricci,Red,U-DEC,,Welterweight
3742,Pat Barry,Shane del Rosario,Red,KO/TKO,Punch,Heavyweight
3743,Dustin Poirier,Jonathan Brookins,Red,SUB,D'Arce Choke,Featherweight
3744,Mike Pyle,James Head,Red,KO/TKO,Knee,Welterweight
3745,Johnny Bedford,Marcos Vinicius,Red,KO/TKO,Punch,Bantamweight
3746,Vinc Pichel,Rustam Khabilov,Blue,KO/TKO,Slam,Lightweight
3747,TJ Waldburger,Nick Catone,Red,SUB,Triangle Choke,Welterweight
3748,Reuben Duran,Hugo Viana,Blue,KO/TKO,Punch,Bantamweight
3749,Mike Rio,John Cofer,Red,SUB,Armbar,Lightweight
3750,Jared Papazian,Tim Elliott,Blue,U-DEC,,Flyweight
3751,George Sotiropoulos,Ross Pearson,Blue,KO/TKO,Punch,Lightweight
3752,Robert Whittaker,Bradley Scott,Red,,,Welterweight
3753,Colin Fletcher,Norman Parke,Blue,U-DEC,,Lightweight
3754,Hector Lombard,Rousimar Palhares,Red,KO/TKO,Punches,Middleweight
3755,Chad Mendes,Yaotzin Meza,Red,KO/TKO,Punch,Featherweight
3756,Mike Pierce,Seth Baczynski,Red,U-DEC,,Welterweight
3757,Benny Alloway,Manuel Rodriguez,Red,,,Welterweight
3758,Brendan Loughnane,Mike Wilkinson,Blue,U-DEC,,Lightweight
3759,Nick Penner,Cody Donovan,Blue,KO/TKO,Punch,Light Heavyweight
3760,Benson Henderson,Nate Diaz,Red,U-DEC,,Lightweight
3761,Mauricio Rua,Alexander Gustafsson,Blue,U-DEC,,Light Heavyweight
3762,BJ Penn,Rory MacDonald,Blue,U-DEC,,Welterweight
3763,Mike Swick,Matt Brown,Blue,KO/TKO,Punches,Welterweight
3764,Yves Edwards,Jeremy Stephens,Red,KO/TKO,Punch,Lightweight
3765,Raphael Assuncao,Mike Easton,Red,U-DEC,,Bantamweight
3766,Ramsey Nijem,Joe Proctor,Red,U-DEC,,Lightweight
3767,Daron Cruickshank,Henry Martinez,Red,KO/TKO,Kick,Lightweight
3768,Marcus LeVesseur,Abel Trujillo,Blue,KO/TKO,Knees,Lightweight
3769,Dennis Siver,Nam Phan,Red,U-DEC,,Featherweight
3770,Scott Jorgensen,John Albert,Red,SUB,Rear Naked Choke,Bantamweight
3771,Georges St-Pierre,Carlos Condit,Red,U-DEC,,Welterweight
3772,Johny Hendricks,Martin Kampmann,Red,KO/TKO,Punch,Welterweight
3773,Francis Carmont,Tom Lawlor,Red,S-DEC,,Middleweight
3774,Mark Bocek,Rafael Dos Anjos,Blue,U-DEC,,Lightweight
3775,Mark Hominick,Pablo Garza,Blue,U-DEC,,Featherweight
3776,Patrick Cote,Alessio Sakara,Red,DQ,,Middleweight
3777,Cyrille Diabate,Chad Griggs,Red,SUB,Rear Naked Choke,Light Heavyweight
3778,Sam Stout,John Makdessi,Blue,U-DEC,,Lightweight
3779,Antonio Carvalho,Rodrigo Damm,Red,S-DEC,,Featherweight
3780,Matthew Riddle,John Maguire,Red,U-DEC,,Welterweight
3781,Ivan Menjivar,Azamat Gashimov,Red,SUB,Armbar,Bantamweight
3782,Steven Siler,Darren Elkins,Blue,U-DEC,,Featherweight
3783,Rich Franklin,Cung Le,Blue,KO/TKO,Punch,Middleweight
3784,Dong Hyun Kim,Paulo Thiago,Red,U-DEC,,Welterweight
3785,Takanori Gomi,Mac Danzig,Red,S-DEC,,Lightweight
3786,Tiequan Zhang,Jon Tuck,Blue,U-DEC,,Lightweight
3787,Takeya Mizugaki,Jeff Hougland,Red,U-DEC,,Bantamweight
3788,Alex Caceres,Motonobu Tezuka,Red,S-DEC,,Bantamweight
3789,Yasuhiro Urushitani,John Lineker,Blue,U-DEC,,Flyweight
3790,Riki Fukuda,Tom DeBlass,Red,U-DEC,,Middleweight
3791,Anderson Silva,Stephan Bonnar,Red,KO/TKO,Knee,Light Heavyweight
3792,Minotauro Nogueira,Dave Herman,Red,,,Heavyweight
3793,Glover Teixeira,Fabio Maldonado,Red,KO/TKO,,Light Heavyweight
3794,Jon Fitch,Erick Silva,Red,U-DEC,,Welterweight
3795,Phil Davis,Wagner Prado,Red,SUB,Anaconda Choke,Light Heavyweight
3796,Demian Maia,Rick Story,Red,SUB,Rear Naked Choke,Welterweight
3797,Rony Jason,Sam Sicilia,Red,KO/TKO,Punch,Featherweight
3798,Gleison Tibau,Francisco Trinaldo,Red,U-DEC,,Lightweight
3799,Diego Brandao,Joey Gambino,Red,U-DEC,,Featherweight
3800,Sergio Moraes,Renee Forte,Red,SUB,Rear Naked Choke,Welterweight
3801,Luiz Cane,Chris Camozzi,Blue,U-DEC,,Middleweight
3802,Cristiano Marcello,Reza Madadi,Red,S-DEC,,Lightweight
3803,Travis Browne,Antonio Silva,Blue,KO/TKO,Punch,Heavyweight
3804,Jake Ellenberger,Jay Hieron,Red,U-DEC,,Welterweight
3805,John Dodson,Jussier Formiga,Red,KO/TKO,Punch,Flyweight
3806,Josh Neer,Justin Edwards,Blue,SUB,Guillotine Choke,Welterweight
3807,Michael Johnson,Danny Castillo,Red,KO/TKO,Punch,Lightweight
3808,Aaron Simpson,Mike Pierce,Blue,KO/TKO,Punch,Welterweight
3809,Marcus LeVesseur,Carlo Prater,Red,S-DEC,,Lightweight
3810,Jacob Volkmann,Shane Roller,Red,SUB,Rear Naked Choke,Lightweight
3811,Bart Palaszewski,Diego Nunes,Blue,U-DEC,,Featherweight
3812,Darren Uyenoyama,Phil Harris,Red,SUB,Rear Naked Choke,Flyweight
3813,Stefan Struve,Stipe Miocic,Red,KO/TKO,Punches,Heavyweight
3814,Dan Hardy,Amir Sadollah,Red,U-DEC,,Welterweight
3815,Brad Pickett,Yves Jabouin,Red,KO/TKO,Punch,Bantamweight
3816,Paul Sass,Matt Wiman,Blue,SUB,Armbar,Lightweight
3817,John Hathaway,John Maguire,Red,U-DEC,,Welterweight
3818,Che Mills,Duane Ludwig,Red,KO/TKO,,Welterweight
3819,Kyle Kingsbury,Jimi Manuwa,Blue,KO/TKO,,Light Heavyweight
3820,Andy Ogle,Akira Corassani,Blue,S-DEC,,Featherweight
3821,Tom Watson,Brad Tavares,Blue,S-DEC,,Middleweight
3822,DaMarques Johnson,Gunnar Nelson,Blue,SUB,Rear Naked Choke,Catch Weight
3823,Jason Young,Robert Peralta,Blue,KO/TKO,Punch,Featherweight
3824,Jon Jones,Vitor Belfort,Red,SUB,Keylock,Light Heavyweight
3825,Joseph Benavidez,Demetrious Johnson,Blue,S-DEC,,Flyweight
3826,Michael Bisping,Brian Stann,Red,U-DEC,,Middleweight
3827,Matt Hamill,Roger Hollett,Red,U-DEC,,Light Heavyweight
3828,Cub Swanson,Charles Oliveira,Red,KO/TKO,Punch,Featherweight
3829,Igor Pokrajac,Vinny Magalhaes,Blue,SUB,Armbar,Light Heavyweight
3830,TJ Grant,Evan Dunham,Red,U-DEC,,Lightweight
3831,Sean Pierson,Lance Benoist,Red,U-DEC,,Welterweight
3832,Jimy Hettes,Marcus Brimage,Blue,U-DEC,,Featherweight
3833,Seth Baczynski,Simeon Thoresen,Red,KO/TKO,Punch,Welterweight
3834,Mitch Gagnon,Walel Watson,Red,SUB,Rear Naked Choke,Bantamweight
3835,Kyle Noke,Charlie Brenneman,Red,KO/TKO,Punch,Welterweight
3836,Benson Henderson,Frankie Edgar,Red,S-DEC,,Lightweight
3837,Donald Cerrone,Melvin Guillard,Red,KO/TKO,Kick,Lightweight
3838,Yushin Okami,Buddy Roberts,Red,KO/TKO,Punches,Middleweight
3839,Justin Lawrence,Max Holloway,Blue,KO/TKO,Punch,Featherweight
3840,Dennis Bermudez,Tommy Hayden,Red,SUB,Guillotine Choke,Featherweight
3841,Jared Hamman,Michael Kuiper,Blue,KO/TKO,Punch,Middleweight
3842,Ken Stone,Erik Perez,Blue,KO/TKO,Punch,Bantamweight
3843,Dustin Pague,Chico Camus,Blue,U-DEC,,Bantamweight
3844,Nik Lentz,Eiji Mitsuoka,Red,KO/TKO,Punches,Featherweight
3845,Mauricio Rua,Brandon Vera,Red,KO/TKO,Punches,Light Heavyweight
3846,Lyoto Machida,Ryan Bader,Red,KO/TKO,Punch,Light Heavyweight
3847,Joe Lauzon,Jamie Varner,Red,SUB,Triangle Choke,Lightweight
3848,Mike Swick,DaMarques Johnson,Red,KO/TKO,Punch,Welterweight
3849,Cole Miller,Nam Phan,Blue,S-DEC,,Featherweight
3850,Josh Grispi,Rani Yahya,Blue,SUB,North-South Choke,Featherweight
3851,Philip De Fries,Oli Thompson,Red,SUB,Other - Lock,Heavyweight
3852,Manvel Gamburyan,Michihiro Omigawa,Red,U-DEC,,Featherweight
3853,John Moraga,Ulysses Gomez,Red,KO/TKO,Elbow,Flyweight
3854,Urijah Faber,Renan Barao,Blue,U-DEC,,Bantamweight
3855,Hector Lombard,Tim Boetsch,Blue,S-DEC,,Middleweight
3856,Cheick Kongo,Shawn Jordan,Red,U-DEC,,Heavyweight
3857,Brian Ebersole,James Head,Blue,S-DEC,,Welterweight
3858,Court McGee,Nick Ring,Blue,U-DEC,,Middleweight
3859,Anthony Perosh,Ryan Jimmo,Blue,KO/TKO,Punch,Light Heavyweight
3860,Bryan Caraway,Mitch Gagnon,Red,SUB,Rear Naked Choke,Bantamweight
3861,Antonio Carvalho,Daniel Pineda,Red,KO/TKO,Punch,Featherweight
3862,Mitch Clarke,Anton Kuivanen,Blue,S-DEC,,Lightweight
3863,Mark Munoz,Chris Weidman,Blue,KO/TKO,Elbow,Middleweight
3864,James Te Huna,Joey Beltran,Red,U-DEC,,Light Heavyweight
3865,Aaron Simpson,Kenny Robertson,Red,U-DEC,,Welterweight
3866,Karlos Vemola,Francis Carmont,Blue,SUB,Rear Naked Choke,Middleweight
3867,TJ Dillashaw,Vaughan Lee,Red,SUB,Rear Naked Choke,Bantamweight
3868,Rafael Dos Anjos,Anthony Njokuani,Red,U-DEC,,Lightweight
3869,Damacio Page,Alex Caceres,Blue,SUB,Triangle Choke,Bantamweight
3870,Chris Cariaso,Josh Ferguson,Red,U-DEC,,Flyweight
3871,Rafael Natal,Andrew Craig,Blue,KO/TKO,Kick,Middleweight
3872,Marcelo Guimaraes,Dan Stittgen,Red,S-DEC,,Welterweight
3873,Raphael Assuncao,Issei Tamura,Red,KO/TKO,Punch,Bantamweight
3874,Anderson Silva,Chael Sonnen,Red,KO/TKO,Punch,Middleweight
3875,Forrest Griffin,Tito Ortiz,Red,U-DEC,,Light Heavyweight
3876,Cung Le,Patrick Cote,Red,U-DEC,,Middleweight
3877,Dong Hyun Kim,Demian Maia,Blue,KO/TKO,,Welterweight
3878,Chad Mendes,Cody McKenzie,Red,KO/TKO,Punch,Featherweight
3879,Ivan Menjivar,Mike Easton,Blue,U-DEC,,Bantamweight
3880,Melvin Guillard,Fabricio Camoes,Red,U-DEC,,Lightweight
3881,Gleison Tibau,Khabib Nurmagomedov,Blue,U-DEC,,Lightweight
3882,Costas Philippou,Riki Fukuda,Red,,,Middleweight
3883,John Alessio,Shane Roller,Blue,U-DEC,,Lightweight
3884,Rafaello Oliveira,Yoislandy Izquierdo,Red,U-DEC,,Lightweight
3885,Wanderlei Silva,Rich Franklin,Blue,U-DEC,,Catch Weight
3886,Cezar Ferreira,Sergio Moraes,Red,U-DEC,,Middleweight
3887,Godofredo Pepey,Rony Jason,Blue,U-DEC,,Featherweight
3888,Fabricio Werdum,Mike Russow,Red,KO/TKO,Punch,Heavyweight
3889,Iuri Alcantara,Hacran Dias,Blue,U-DEC,,Featherweight
3890,Anistavio Medeiros,Rodrigo Damm,Blue,SUB,Rear Naked Choke,Featherweight
3891,Delson Heleno,Francisco Trinaldo,Blue,KO/TKO,Punches,Middleweight
3892,John Teixeira,Hugo Viana,Blue,S-DEC,,Featherweight
3893,Thiago Perpetuo,Leonardo Mafra,Red,KO/TKO,Punch,Middleweight
3894,Marcos Vinicius,Wagner Campos,Red,KO/TKO,Punches,Featherweight
3895,Gray Maynard,Clay Guida,Red,S-DEC,,Lightweight
3896,Sam Stout,Spencer Fisher,Red,U-DEC,,Lightweight
3897,Brian Ebersole,TJ Waldburger,Red,U-DEC,,Welterweight
3898,Ross Pearson,Cub Swanson,Blue,KO/TKO,Punch,Featherweight
3899,Hatsu Hioki,Ricardo Lamas,Blue,U-DEC,,Featherweight
3900,Ramsey Nijem,CJ Keith,Red,KO/TKO,Punch,Lightweight
3901,Rick Story,Brock Jardine,Red,U-DEC,,Welterweight
3902,Steven Siler,Joey Gambino,Red,SUB,Guillotine Choke,Featherweight
3903,Nick Catone,Chris Camozzi,Blue,KO/TKO,,Middleweight
3904,Matt Brown,Luis Ramos,Red,KO/TKO,Knees,Welterweight
3905,Dan Miller,Ricardo Funch,Red,SUB,Guillotine Choke,Welterweight
3906,Ken Stone,Dustin Pague,Red,S-DEC,,Bantamweight
3907,Demetrious Johnson,Ian McCall,Red,U-DEC,,Flyweight
3908,Erick Silva,Charlie Brenneman,Red,SUB,Rear Naked Choke,Welterweight
3909,Mike Pyle,Josh Neer,Red,KO/TKO,Punch,Welterweight
3910,Eddie Wineland,Scott Jorgensen,Red,KO/TKO,Punch,Bantamweight
3911,Mike Pierce,Carlos Eduardo Rocha,Red,U-DEC,,Welterweight
3912,Seth Baczynski,Lance Benoist,Red,S-DEC,,Welterweight
3913,Leonard Garcia,Matt Grice,Blue,U-DEC,,Featherweight
3914,Dustin Pague,Jared Papazian,Red,SUB,Rear Naked Choke,Bantamweight
3915,Tim Means,Justin Salas,Red,KO/TKO,Punches,Lightweight
3916,Buddy Roberts,Caio Magalhaes,Red,U-DEC,,Middleweight
3917,Henry Martinez,Bernardo Magalhaes,Red,S-DEC,,Lightweight
3918,Jake Hecht,Sean Pierson,Blue,U-DEC,,Welterweight
3919,Jake Ellenberger,Martin Kampmann,Blue,KO/TKO,Knee,Welterweight
3920,Michael Chiesa,Al Iaquinta,Red,SUB,Rear Naked Choke,Lightweight
3921,Jonathan Brookins,Charles Oliveira,Blue,SUB,Guillotine Choke,Featherweight
3922,Max Holloway,Pat Schilling,Red,U-DEC,,Featherweight
3923,Justin Lawrence,John Cofer,Red,KO/TKO,Kick,Lightweight
3924,Daron Cruickshank,Chris Tickle,Red,U-DEC,,Lightweight
3925,Myles Jury,Chris Saunders,Red,SUB,Guillotine Choke,Lightweight
3926,Cristiano Marcello,Sam Sicilia,Blue,KO/TKO,Knee,Lightweight
3927,Joe Proctor,Jeremy Larsen,Red,KO/TKO,Knee,Lightweight
3928,John Albert,Erik Perez,Blue,SUB,Armbar,Bantamweight
3929,Junior Dos Santos,Frank Mir,Red,KO/TKO,Punch,Heavyweight
3930,Cain Velasquez,Antonio Silva,Red,KO/TKO,Punches,Heavyweight
3931,Roy Nelson,Dave Herman,Red,KO/TKO,Punch,Heavyweight
3932,Stipe Miocic,Shane del Rosario,Red,KO/TKO,Elbows,Heavyweight
3933,Stefan Struve,Lavar Johnson,Red,SUB,Armbar,Heavyweight
3934,Diego Brandao,Darren Elkins,Blue,U-DEC,,Featherweight
3935,Edson Barboza,Jamie Varner,Blue,KO/TKO,Punches,Lightweight
3936,Jason Miller,CB Dollaway,Blue,U-DEC,,Middleweight
3937,Dan Hardy,Duane Ludwig,Red,KO/TKO,Punch,Welterweight
3938,Jacob Volkmann,Paul Sass,Blue,SUB,Triangle Choke,Lightweight
3939,Kyle Kingsbury,Glover Teixeira,Blue,SUB,Arm Triangle,Light Heavyweight
3940,Mike Brown,Daniel Pineda,Red,U-DEC,,Featherweight
3941,Chan Sung Jung,Dustin Poirier,Red,SUB,D'Arce Choke,Featherweight
3942,Amir Sadollah,Jorge Lopez,Red,S-DEC,,Welterweight
3943,Donald Cerrone,Jeremy Stephens,Red,U-DEC,,Lightweight
3944,Yves Jabouin,Jeff Hougland,Red,U-DEC,,Bantamweight
3945,Igor Pokrajac,Fabio Maldonado,Red,U-DEC,,Light Heavyweight
3946,Jason MacDonald,Tom Lawlor,Blue,KO/TKO,Punch,Middleweight
3947,Brad Tavares,Dongi Yang,Red,U-DEC,,Middleweight
3948,Cody McKenzie,Marcus LeVesseur,Red,SUB,Guillotine Choke,Lightweight
3949,TJ Grant,Carlo Prater,Red,U-DEC,,Lightweight
3950,Rafael Dos Anjos,Kamal Shalorus,Red,SUB,Rear Naked Choke,Lightweight
3951,Jeff Curran,Johnny Eduardo,Blue,U-DEC,,Bantamweight
3952,Alex Soto,Francisco Rivera,Blue,U-DEC,,Bantamweight
3953,Nate Diaz,Jim Miller,Red,SUB,Guillotine Choke,Lightweight
3954,Josh Koscheck,Johny Hendricks,Blue,S-DEC,,Welterweight
3955,Rousimar Palhares,Alan Belcher,Blue,KO/TKO,Punches,Middleweight
3956,Pat Barry,Lavar Johnson,Blue,KO/TKO,Punches,Heavyweight
3957,Tony Ferguson,Michael Johnson,Blue,U-DEC,,Lightweight
3958,John Dodson,Tim Elliott,Red,U-DEC,,Flyweight
3959,John Hathaway,Pascal Krauss,Red,U-DEC,,Welterweight
3960,Louis Gaudinot,John Lineker,Red,SUB,Guillotine Choke,Flyweight
3961,Danny Castillo,John Cholish,Red,U-DEC,,Lightweight
3962,Dennis Bermudez,Pablo Garza,Red,U-DEC,,Featherweight
3963,Roland Delorme,Nick Denis,Red,SUB,Rear Naked Choke,Bantamweight
3964,Mike Massenzio,Karlos Vemola,Blue,SUB,Rear Naked Choke,Middleweight
3965,Jon Jones,Rashad Evans,Red,U-DEC,,Light Heavyweight
3966,Rory MacDonald,Che Mills,Red,KO/TKO,Punches,Welterweight
3967,Brendan Schaub,Ben Rothwell,Blue,KO/TKO,Punch,Heavyweight
3968,Miguel Torres,Michael McDonald,Blue,KO/TKO,Punch,Bantamweight
3969,Mark Hominick,Eddie Yagin,Blue,S-DEC,,Featherweight
3970,Mark Bocek,John Alessio,Red,U-DEC,,Lightweight
3971,Travis Browne,Chad Griggs,Red,SUB,Arm Triangle,Heavyweight
3972,Matt Brown,Stephen Thompson,Red,U-DEC,,Welterweight
3973,John Makdessi,Anthony Njokuani,Blue,U-DEC,,Lightweight
3974,Mac Danzig,Efrain Escudero,Red,U-DEC,,Lightweight
3975,Keith Wisniewski,Chris Clements,Blue,S-DEC,,Welterweight
3976,Marcus Brimage,Maximo Blanco,Red,S-DEC,,Featherweight
3977,Alexander Gustafsson,Thiago Silva,Red,U-DEC,,Light Heavyweight
3978,Brian Stann,Alessio Sakara,Red,KO/TKO,Punch,Middleweight
